,name,company,year,price,kms_driven,fuel_type
16620,Toyota Corolla,Toyota ,2014,1850000,70000,Petrol
16621,Suzuki Bolan,Suzuki ,2015,800000,100000,Petrol
16622,Suzuki Alto,Suzuki ,2008,650000,50451,Petrol
16623,Toyota Prado,Toyota ,1996,2800000,200000,Diesel
16624,Prince K07,Prince ,2018,1100000,81000,Petrol
16625,FAW X-PV,FAW ,2015,700000,181000,Petrol
16626,Honda Civic,Honda ,2003,1020000,202000,Petrol
16627,Suzuki Cultus,Suzuki ,2016,1235000,34000,Petrol
16628,Honda Civic,Honda ,1999,730000,94000,Petrol
16629,Suzuki Wagon,Suzuki ,2018,1550000,24800,Petrol
16630,Toyota Hiace,Toyota ,2015,2300000,20000,Petrol
16631,Suzuki Wagon,Suzuki ,2018,1410000,37000,Petrol
16632,Suzuki Mehran,Suzuki ,2018,890000,50000,Petrol
16633,Toyota Corolla,Toyota ,2015,2200000,95000,Petrol
16634,Honda BR-V,Honda ,2019,3120000,3600,Petrol
16635,Daihatsu Cuore,Daihatsu ,2006,750000,52500,Petrol
16636,Suzuki Mehran,Suzuki ,2018,870000,33000,Petrol
16637,Suzuki Cultus,Suzuki ,2010,720000,120000,Petrol
16638,Suzuki Ravi,Suzuki ,2018,750000,21000,Petrol
16639,Suzuki Cultus,Suzuki ,2015,975000,69676,Petrol
16640,Toyota Corolla,Toyota ,2012,1700000,150000,Petrol
16641,Toyota Corolla,Toyota ,2018,3130000,37000,Petrol
16642,Toyota Corolla,Toyota ,2014,2090000,98000,Petrol
16643,Toyota Aqua,Toyota ,2015,2850000,53000,Petrol
16644,Suzuki Cultus,Suzuki ,2007,615000,55000,Petrol
16645,Suzuki Mehran,Suzuki ,2012,480000,100000,Petrol
16646,Honda Vezel,Honda ,2015,4100000,74000,Hybrid
16647,Toyota Corolla,Toyota ,2017,2375000,48000,Petrol
16648,Toyota Corolla,Toyota ,2003,1070000,126000,Diesel
16649,Daihatsu Mira,Daihatsu ,2015,1650000,26000,Petrol
16650,Toyota Corolla,Toyota ,1996,850000,186000,Petrol
16651,Mitsubishi I,Mitsubishi ,2013,1550000,57000,Petrol
16652,Honda Civic,Honda ,2006,1150000,95700,Petrol
16653,Suzuki Cultus,Suzuki ,2016,1265000,57000,Petrol
16654,Suzuki Alto,Suzuki ,2019,1370000,8500,Petrol
16655,Suzuki Cultus,Suzuki ,2016,1230000,50000,Petrol
16656,Honda Civic,Honda ,2002,845000,150000,Petrol
